time,bond_closing_yields_1year,bond_closing_yields_2year,bond_closing_yields_5year,bond_closing_yields_10year,Swap_rates_1year,Swap_rates_2year,Swap_rates_3year,Swap_rates_4year,Swap_rates_5year,Swap_rates_7year,Swap_rates_10year,Swap_rates_15year,Swap_rates_2-10year
Aug 2010,3.58,4.02,4.49,5.23,3.54,3.84,4.04,4.20,4.35,4.63,4.93,5.14,111
Sep 2010,3.64,4.06,4.55,5.28,3.48,3.79,4.02,4.21,4.40,4.68,4.97,5.17,118
Oct 2010,3.50,3.89,4.37,5.08,3.43,3.76,3.99,4.17,4.34,4.64,4.94,5.15,118
Nov 2010,3.58,4.19,4.73,5.50,3.51,3.95,4.26,4.48,4.67,4.99,5.31,5.53,136
Dec 2010,3.40,4.07,4.78,5.82,3.40,3.83,4.21,4.50,4.75,5.13,5.53,5.75,170
Jan 2011,3.33,3.89,4.60,5.60,3.41,3.84,4.18,4.43,4.66,5.02,5.42,5.62,157
Feb 2011,3.19,3.82,4.49,5.57,3.28,3.73,4.09,4.37,4.61,4.99,5.37,5.57,165
Mar 2011,2.63,3.46,4.32,5.58,2.77,3.29,3.74,4.08,4.36,4.79,5.19,5.37,191
Apr 2011,2.60,3.47,4.47,5.70,2.80,3.36,3.88,4.27,4.58,5.01,5.41,5.56,205
May 2011,2.60,3.22,4.14,5.22,2.83,3.34,3.81,4.16,4.44,4.84,5.21,5.39,187
Jun 2011,2.59,3.20,3.99,5.04,2.87,3.35,3.77,4.09,4.35,4.75,5.10,5.29,175
Jul 2011,2.62,3.29,4.03,5.06,3.05,3.50,3.89,4.20,4.46,4.86,5.22,5.42,172
Aug 2011,2.67,3.06,3.64,4.56,3.10,3.39,3.68,3.96,4.21,4.58,4.91,5.11,152
Sep 2011,2.55,2.95,3.44,4.40,3.01,3.22,3.44,3.67,3.89,4.26,4.55,4.77,134
Oct 2011,,2.84,4.04,4.53,2.92,3.12,3.37,3.64,3.89,4.29,4.63,4.87,151
Nov 2011,,2.57,3.65,4.12,2.71,2.87,3.11,3.37,3.62,4.03,4.39,4.62,152
Dec 2011,,2.46,3.39,3.90,2.65,2.74,2.92,3.13,3.35,3.77,4.14,4.38,139
Jan 2012,,2.48,3.36,3.86,2.71,2.82,2.99,3.20,3.42,3.82,4.17,4.43,136
Feb 2012,2.63,2.71,3.50,3.98,2.78,2.94,3.14,3.37,3.59,3.99,4.33,4.56,139
Mar 2012,2.65,3.11,3.71,4.17,2.83,3.07,3.32,3.56,3.79,4.17,4.50,4.74,143
Apr 2012,2.60,2.93,3.52,3.97,2.75,2.91,3.13,3.37,3.59,3.97,4.30,4.54,139
May 2012,2.33,2.41,2.97,3.64,2.43,2.51,2.68,2.90,3.12,3.51,3.86,4.10,135
Jun 2012,2.37,2.37,2.83,3.40,2.54,2.63,2.78,2.96,3.13,3.45,3.74,3.97,111
Jul 2012,2.43,2.46,2.86,3.39,2.59,2.69,2.82,2.97,3.12,3.42,3.70,3.93,101
Aug 2012,2.51,2.62,3.04,3.65,2.63,2.75,2.90,3.06,3.23,3.54,3.85,4.08,110
Sep 2012,2.53,2.55,2.94,3.57,2.57,2.69,2.84,2.99,3.14,3.46,3.78,3.99,108
Oct 2012,2.50,2.48,2.85,3.50,2.53,2.61,2.74,2.88,3.03,3.34,3.65,3.83,105
Nov 2012,2.48,2.47,2.83,3.47,2.54,2.63,2.76,2.90,3.05,3.37,3.70,3.86,107
Dec 2012,,2.54,2.91,3.55,2.60,2.70,2.82,2.97,3.12,3.44,3.77,3.93,107
Jan 2013,,2.53,2.90,3.55,2.68,2.81,2.95,3.10,3.25,3.57,3.90,4.08,109
Feb 2013,,2.71,3.14,3.81,2.77,2.96,3.15,3.32,3.48,3.78,4.09,4.28,113
Mar 2013,,2.57,3.05,3.72,2.73,2.93,3.13,3.32,3.49,3.79,4.10,4.31,117
Apr 2013,,2.46,2.75,3.32,2.70,2.86,3.03,3.18,3.33,3.61,3.90,4.11,104
May 2013,,2.50,2.80,3.38,2.70,2.87,3.05,3.22,3.37,3.64,3.93,4.14,106
Jun 2013,,2.73,3.17,3.85,2.78,3.07,3.32,3.53,3.71,3.99,4.29,4.51,122
Jul 2013,,2.84,3.49,4.23,2.84,3.25,3.57,3.82,4.03,4.32,4.59,4.83,134
Aug 2013,,2.99,4.00,4.47,2.91,3.42,3.80,4.07,4.29,4.59,4.86,5.10,144
Sep 2013,,3.03,4.22,4.69,2.94,3.48,3.91,4.22,4.46,4.77,5.03,5.29,155
Oct 2013,3.05,3.07,4.22,4.65,2.97,3.49,3.89,4.17,4.40,4.71,4.95,5.19,147
Nov 2013,3.09,,4.22,4.71,3.06,3.56,3.94,4.22,4.45,4.78,5.04,5.27,148
Dec 2013,3.19,,4.26,4.75,3.28,3.77,4.13,4.40,4.63,4.96,5.22,5.45,144
Jan 2014,3.24,,4.16,4.64,3.41,3.82,4.14,4.39,4.60,4.90,5.14,5.36,132
Feb 2014,3.22,,4.06,4.57,3.44,3.83,4.13,4.35,4.54,4.83,5.07,5.30,123
Mar 2014,3.27,,4.12,4.58,3.54,3.97,4.24,4.43,4.58,4.82,5.04,5.27,107
Apr 2014,3.40,,4.23,4.55,3.64,4.05,4.31,4.48,4.61,4.81,5.00,5.21,95
May 2014,3.40,,4.00,4.30,3.65,3.96,4.17,4.31,4.42,4.60,4.79,5.03,83
Jun 2014,3.51,,4.08,4.42,3.82,4.11,4.29,4.42,4.52,4.69,4.87,5.08,76
Jul 2014,3.59,,4.09,4.36,3.91,4.16,4.34,4.47,4.57,4.71,4.84,5.03,68
Aug 2014,3.57,,3.98,4.20,3.86,4.06,4.21,4.32,4.41,4.54,4.66,4.83,60
Sep 2014,3.56,,4.01,4.19,3.84,4.06,4.21,4.32,4.41,4.53,4.64,4.79,58
Oct 2014,3.51,,3.94,4.04,3.78,3.98,4.10,4.18,4.24,4.35,4.45,4.59,47
Nov 2014,3.52,,3.88,4.03,3.75,3.91,4.02,4.10,4.18,4.31,4.43,4.58,52
Dec 2014,3.52,3.56,3.67,3.77,3.73,3.84,3.92,3.98,4.04,4.13,4.22,4.38,38
Jan 2015,,3.37,3.39,3.42,3.68,3.72,3.74,3.76,3.78,3.81,3.85,3.95,13
Feb 2015,,3.18,3.22,3.27,3.58,3.59,3.61,3.63,3.66,3.71,3.76,3.85,17
Mar 2015,,3.15,3.21,3.30,3.57,3.56,3.59,3.62,3.66,3.72,3.79,3.89,23
Apr 2015,,3.12,3.11,3.25,3.54,3.51,3.52,3.55,3.59,3.66,3.74,3.83,22
May 2015,,3.10,3.21,3.66,3.40,3.41,3.47,3.55,3.65,3.80,3.97,4.11,56
Jun 2015,,2.97,3.18,3.76,3.18,3.20,3.29,3.41,3.54,3.76,3.99,4.21,79
Jul 2015,,2.67,2.85,3.46,2.93,2.94,3.01,3.13,3.27,3.52,3.78,4.02,85
Aug 2015,,2.56,2.69,3.28,2.82,2.86,2.93,3.03,3.15,3.36,3.61,3.86,75
Sep 2015,,2.48,2.69,3.29,2.71,2.74,2.84,2.96,3.09,3.33,3.59,3.84,84
Oct 2015,,2.52,2.73,3.33,2.72,2.72,2.80,2.91,3.03,3.27,3.52,3.77,79
Nov 2015,,2.60,2.94,3.51,2.73,2.75,2.83,2.95,3.09,3.34,3.60,3.85,84
Dec 2015,,2.61,2.96,3.55,2.74,2.79,2.90,3.03,3.16,3.41,3.66,3.92,86
Jan 2016,,2.43,2.76,3.31,2.66,2.70,2.80,2.93,3.05,3.28,3.51,3.78,81
Feb 2016,,2.36,2.60,3.06,2.53,2.53,2.59,2.69,2.79,2.98,3.20,3.46,67
Mar 2016,,2.10,2.41,3.02,2.31,2.31,2.37,2.47,2.59,2.81,3.07,3.37,76
Apr 2016,,2.03,2.24,2.86,2.21,2.22,2.28,2.38,2.49,2.71,2.96,3.26,74
May 2016,,2.07,2.17,2.66,2.26,2.24,2.29,2.37,2.47,2.66,2.90,3.14,65
Jun 2016,2.06,2.08,2.12,2.50,2.28,2.26,2.29,2.34,2.42,2.57,2.78,3.02,52
Jul 2016,1.93,1.93,1.97,2.26,2.18,2.14,2.14,2.17,2.22,2.34,2.52,2.75,38
Aug 2016,1.78,1.77,1.80,2.20,2.03,1.98,2.00,2.03,2.09,2.22,2.42,2.66,44
Sep 2016,1.85,1.89,1.97,2.39,2.08,2.03,2.05,2.11,2.17,2.32,2.51,2.78,48
Oct 2016,1.88,1.94,2.07,2.54,2.09,2.09,2.13,2.20,2.29,2.46,2.68,2.94,59
Nov 2016,1.90,2.09,2.40,2.98,2.11,2.24,2.39,2.54,2.67,2.90,3.14,3.43,90
Dec 2016,1.91,2.23,2.62,3.33,2.15,2.38,2.60,2.79,2.97,3.23,3.49,3.79,111
Jan 2017,1.89,2.24,2.61,3.23,2.14,2.42,2.65,2.83,2.99,3.24,3.47,3.73,105
Feb 2017,1.88,2.20,2.61,3.28,2.11,2.36,2.61,2.82,3.00,3.26,3.51,3.80,115
Mar 2017,1.86,2.15,2.55,3.27,2.08,2.32,2.57,2.79,2.98,3.25,3.51,3.82,119
Apr 2017,1.83,2.10,2.41,3.04,2.06,2.29,2.50,2.69,2.84,3.09,3.34,3.62,104
May 2017,1.81,1.99,2.38,2.93,2.04,2.26,2.47,2.66,2.82,3.07,3.31,3.58,105
Jun 2017,1.80,1.95,2.46,2.76,2.02,2.21,2.39,2.56,2.70,2.93,3.17,3.42,96
Jul 2017,1.81,2.00,2.63,2.97,2.05,2.26,2.48,2.66,2.82,3.08,3.33,3.58,107
Aug 2017,1.89,2.03,2.47,2.89,2.01,2.18,2.35,2.51,2.66,2.91,3.16,3.42,99
Sep 2017,1.90,2.05,2.50,2.91,2.02,2.19,2.36,2.52,2.67,2.91,3.16,3.41,98
Oct 2017,1.89,2.06,2.52,2.97,2.02,2.19,2.37,2.55,2.70,2.96,3.23,3.47,104
Nov 2017,1.85,1.98,2.41,2.84,2.00,2.17,2.33,2.49,2.64,2.88,3.14,3.38,97
Dec 2017,1.80,1.92,2.32,2.76,1.99,2.17,2.35,2.50,2.64,2.87,3.11,3.36,94
Jan 2018,1.79,1.97,2.42,2.88,1.99,2.20,2.40,2.56,2.71,2.96,3.21,3.46,101
Feb 2018,1.77,1.88,2.41,2.96,1.99,2.17,2.37,2.56,2.72,3.00,3.27,3.51,110
Mar 2018,1.76,1.90,2.37,2.87,2.06,2.23,2.40,2.56,2.70,2.94,3.18,3.43,96
Apr 2018,1.78,1.92,2.37,2.82,2.13,2.28,2.44,2.59,2.72,2.94,3.18,3.43,90
May 2018,1.79,1.86,2.32,2.78,2.08,2.23,2.39,2.55,2.69,2.93,3.18,3.44,95
Jun 2018,1.78,1.87,2.28,2.90,2.09,2.23,2.38,2.52,2.66,2.89,3.13,3.40,91
Jul 2018,1.77,1.82,2.15,2.81,2.03,2.15,2.28,2.42,2.55,2.78,3.03,3.29,88
Aug 2018,1.74,1.72,2.00,2.63,1.97,2.04,2.15,2.28,2.41,2.65,2.91,3.16,87
Sep 2018,1.72,1.67,1.93,2.59,1.95,2.00,2.10,2.21,2.34,2.59,2.86,3.12,86
Oct 2018,1.73,1.77,1.98,2.61,1.94,2.02,2.12,2.24,2.37,2.61,2.88,3.13,86
Nov 2018,1.81,1.88,2.11,2.68,2.02,2.13,2.26,2.39,2.51,2.74,2.99,3.24,86
Dec 2018,1.74,1.75,1.92,2.44,1.99,2.03,2.11,2.21,2.31,2.52,2.75,3.00,72
Jan 2019,1.70,1.69,1.79,2.32,1.91,1.92,1.97,2.05,2.14,2.35,2.59,2.85,68
Feb 2019,1.69,1.68,1.69,2.17,1.88,1.87,1.90,1.96,2.04,2.22,2.46,2.73,59
Mar 2019,1.66,1.58,1.59,2.02,1.83,1.80,1.81,1.86,1.93,2.10,2.32,2.59,52
Apr 2019,1.49,1.47,1.58,1.96,1.69,1.65,1.68,1.73,1.81,2.00,2.24,2.54,59
May 2019,1.40,1.36,1.50,1.80,1.58,1.55,1.57,1.61,1.68,1.85,2.07,2.37,52
Jun 2019,1.22,1.18,1.30,1.62,1.43,1.37,1.37,1.41,1.47,1.62,1.83,2.10,47
Jul 2019,1.19,1.12,1.23,1.55,1.37,1.31,1.31,1.34,1.39,1.54,1.75,2.02,44
Aug 2019,0.92,0.82,0.88,1.12,1.07,1.00,0.97,0.98,1.01,1.13,1.30,1.54,30
Sep 2019,0.83,0.83,0.91,1.16,1.01,0.96,0.94,0.95,0.99,1.10,1.27,1.50,32
Oct 2019,0.78,0.78,0.89,1.16,0.94,0.91,0.90,0.92,0.96,1.09,1.27,1.52,37
Nov 2019,0.97,0.90,1.09,1.35,1.12,1.11,1.12,1.15,1.20,1.32,1.50,1.74,39
Dec 2019,1.08,,1.28,1.54,1.21,1.23,1.27,1.31,1.37,1.51,1.69,1.94,47
Jan 2020,1.03,,1.20,1.47,1.18,1.19,1.21,1.25,1.30,1.43,1.61,1.85,42
Feb 2020,0.96,,1.06,1.27,1.09,1.07,1.07,1.09,1.13,1.24,1.40,1.63,34
Mar 2020,0.46,,0.79,1.10,0.66,0.66,0.69,0.73,0.78,0.90,1.09,1.32,42
Apr 2020,0.23,,0.52,0.94,0.37,0.38,0.41,0.46,0.53,0.69,0.90,1.17,53
May 2020,0.09,,0.24,0.63,0.21,0.17,0.18,0.22,0.28,0.44,0.67,0.94,50
Jun 2020,0.20,,0.43,0.89,0.25,0.23,0.26,0.31,0.38,0.55,0.78,1.05,55
Jul 2020,0.24,,0.42,0.90,0.24,0.21,0.23,0.27,0.34,0.50,0.72,1.00,51
Aug 2020,0.23,,0.24,0.67,0.19,0.13,0.13,0.16,0.22,0.37,0.59,0.86,46
Sep 2020,0.19,,0.02,0.55,0.12,0.04,0.04,0.07,0.12,0.28,0.53,0.80,49
Oct 2020,0.18,,0.03,0.54,0.09,0.03,0.03,0.06,0.11,0.27,0.50,0.79,47
Nov 2020,0.21,0.21,0.22,0.77,0.18,0.16,0.19,0.25,0.33,0.51,0.76,1.06,60
Dec 2020,,0.24,0.34,0.92,0.25,0.27,0.32,0.40,0.49,0.68,0.94,1.27,67
Jan 2021,,0.22,0.39,1.04,0.26,0.29,0.36,0.47,0.58,0.81,1.09,1.42,81
Feb 2021,,0.26,0.75,1.47,0.29,0.38,0.53,0.71,0.89,1.20,1.55,1.90,117
Mar 2021,,0.32,1.03,1.76,0.35,0.49,0.69,0.92,1.14,1.52,1.92,2.29,142
Apr 2021,,0.25,0.87,1.67,0.35,0.45,0.63,0.84,1.05,1.43,1.83,2.20,137
May 2021,,0.30,1.04,1.81,0.37,0.54,0.76,0.99,1.21,1.57,1.95,2.33,141
Jun 2021,,0.35,1.03,1.76,0.41,0.63,0.88,1.10,1.29,1.59,1.89,2.22,126
Jul 2021,,0.66,1.13,1.58,0.70,0.96,1.14,1.29,1.40,1.59,1.79,2.02,84
Aug 2021,,0.90,1.30,1.65,0.97,1.24,1.40,1.51,1.59,1.74,1.91,2.13,67
Sep 2021,,1.02,1.52,1.88,1.07,1.41,1.59,1.71,1.79,1.93,2.11,2.32,70
Oct 2021,1.36,1.11,1.81,2.23,1.29,1.74,1.96,2.08,2.16,2.28,2.43,2.60,69
Nov 2021,1.58,2.01,2.33,2.57,1.63,2.27,2.53,2.63,2.67,2.70,2.73,2.80,47
Dec 2021,1.53,1.97,2.21,2.37,1.69,2.22,2.45,2.53,2.55,2.56,2.58,2.60,36
Jan 2022,1.60,2.05,2.37,2.56,1.83,2.32,2.55,2.66,2.70,2.76,2.80,2.84,49
Feb 2022,1.83,2.25,2.58,2.73,2.07,2.56,2.74,2.83,2.87,2.91,2.94,2.96,38
Mar 2022,2.15,2.64,2.93,3.07,2.52,3.02,3.16,3.21,3.23,3.26,3.27,3.27,26
Apr 2022,2.62,3.16,3.39,3.47,3.05,3.60,3.70,3.72,3.72,3.71,3.71,3.67,11
May 2022,2.81,3.27,3.48,3.64,3.29,3.73,3.82,3.83,3.83,3.85,3.89,3.87,16
Jun 2022,3.22,3.59,3.77,3.98,3.84,4.18,4.23,4.23,4.22,4.23,4.25,4.27,7
Jul 2022,3.26,3.46,3.50,3.65,3.86,3.95,3.89,3.84,3.81,3.81,3.84,3.87,-11
Aug 2022,3.47,3.50,3.48,3.58,3.94,3.98,3.88,3.81,3.76,3.74,3.75,3.79,-22
Sep 2022,3.91,3.95,3.98,4.07,4.33,4.42,4.36,4.30,4.25,4.23,4.24,4.28,-19
Oct 2022,4.17,4.34,4.36,4.41,4.87,4.95,4.85,4.76,4.70,4.67,4.66,4.69,-29
Nov 2022,4.53,4.49,4.32,4.28,5.13,5.11,4.93,4.78,4.67,4.59,4.56,4.60,-55
Dec 2022,4.95,4.71,4.27,4.21,5.36,5.20,4.92,4.72,4.60,4.49,4.45,4.48,-76
Jan 2023,4.91,4.54,4.10,4.13,5.38,5.03,4.69,4.49,4.39,4.33,4.32,4.36,-71
Feb 2023,4.93,4.65,4.25,4.31,5.39,5.12,4.81,4.62,4.51,4.44,4.43,4.48,-69
Mar 2023,5.03,4.73,4.37,4.34,5.41,5.15,4.87,4.68,4.57,4.48,4.43,4.46,-72
Apr 2023,5.13,4.60,4.10,4.09,5.55,5.04,4.66,4.44,4.32,4.23,4.20,4.24,-85
May 2023,5.32,4.76,4.17,4.22,5.71,5.16,4.76,4.53,4.40,4.31,4.29,4.33,-87
Jun 2023,5.40,5.05,4.44,4.49,5.77,5.36,4.98,4.74,4.60,4.49,4.45,4.50,-91
Jul 2023,5.62,5.36,4.70,4.64,5.84,5.51,5.15,4.91,4.77,4.64,4.59,4.64,-92