time,bond_closing_yields_1year,interbank,interbank1
Jul-03,4.85,5.03761,5.1
Aug-03,4.99,5.27625,5.3575
Sep-03,5.08,5.41773,5.3975
Oct-03,5.37,5.54522,5.6675
Nov-03,5.59,5.85525,5.9225
Dec-03,5.49,5.84488,5.8275
Jan-04,5.37,5.73952,5.915
Feb-04,5.5,5.826,5.7875
Mar-04,5.38,5.68609,5.61
Apr-04,5.43,5.78488,6.0125
May-04,5.75,6.13868,6.16
Jun-04,5.93,6.33898,6.4675
Jul-04,6.09,6.45045,6.57
Aug-04,6.22,6.59548,6.625
Sep-04,6.34,6.74489,6.8375
Oct-04,6.24,6.8019,6.705
Nov-04,6.22,6.69534,6.5675
Dec-04,6.28,6.65881,6.6975
Jan-05,6.38,6.77088,6.8275
Feb-05,6.33,6.89313,6.94
Mar-05,6.45,7.08643,7.1625
Apr-05,6.47,7.08119,7.015
May-05,6.42,7.06619,7
Jun-05,6.32,7.03034,7.005
Jul-05,6.39,7.00095,7
Aug-05,6.46,7.00614,7.0325
Sep-05,6.49,7.09693,7.3025
Oct-05,6.61,7.39583,7.4775
Nov-05,6.82,7.63602,7.6925
Dec-05,6.82,7.63211,7.55
Jan-06,6.46,7.50595,7.44
Feb-06,6.39,7.40513,7.36
Mar-06,6.82,7.30478,7.2425
Apr-06,6.82,7.30722,7.36
May-06,6.81,7.43607,7.4775
Jun-06,6.89,7.49693,7.455
Jul-06,7,7.56821,7.545
Aug-06,7.01,7.62739,7.6725
Sep-06,7.08,7.69512,7.68
Oct-06,7.24,7.78273,7.7425
Nov-06,6.77,7.73511,7.7725
Dec-06,6.5,7.84263,7.9675
Jan-07,6.57,7.93398,7.9425
Feb-07,6.79,8.01713,8.01
Mar-07,6.99,8.0808,8.1325
Apr-07,7.24,8.21987,8.2725
May-07,7.32,8.30833,8.365
Jun-07,7.49,8.52321,8.54
Jul-07,7.81,8.62727,8.7275
Aug-07,7.76,8.85398,8.8
Sep-07,7.03,8.89763,8.925
Oct-07,7.07,8.97141,9.0375
Nov-07,7.35,9.08733,9.155
Dec-07,7.52,9.22934,9.2375
Jan-08,7.52,9.10886,8.985
Feb-08,7.32,9.22583,9.2525
Mar-08,7.08,9.20184,9.1375
Apr-08,6.89,9.13295,9.0975
May-08,6.89,8.824,9.05
Jun-08,7.03,8.85869,8.7675
Jul-08,6.9,8.53315,8.25
Aug-08,6.88,8.17625,8.1725
Sep-08,6.43,8.16409,8.7
Oct-08,5.61,8.36416,7.62
Nov-08,5.26,6.76775,6.3325
Dec-08,4.52,5.86536,5.6075
Jan-09,3.55,4.975,4
Feb-09,3.12,4.04229,3.925
Mar-09,3.12,4.03352,4.115
Apr-09,2.99,3.95563,3.765
May-09,,3.76711,3.705
Jun-09,,3.65898,3.695
Jul-09,,3.75283,3.735
Aug-09,,3.697,3.695
Sep-09,,3.71216,3.8425
Oct-09,,4.1558,4.2975
Nov-09,,4.25881,4.15
Dec-09,,4.19833,4.2475
Jan-10,,4.25013,4.14
Feb-10,,4.00088,3.895
Mar-10,,3.88554,3.955
Apr-10,,4,4.0375
May-10,,4.17974,4.1825
Jun-10,,4.39455,4.49
Jul-10,,4.55534,4.5175
Aug-10,3.59,4.44298,4.3525
Sep-10,3.64,4.17932,4.1
Oct-10,3.5,4.10345,4.095
Nov-10,3.58,4.13534,4.085
Dec-10,3.41,4.0344,4
Jan-11,3.33,3.99938,4
Feb-11,3.2,3.94363,3.69
Mar-11,2.64,3.39924,3.315
Apr-11,2.6,3.35569,3.38
May-11,2.59,3.41725,3.43
Jun-11,2.59,3.41648,3.4075
Jul-11,2.62,3.43583,3.5075
Aug-11,2.67,3.48727,3.5
Sep-11,2.55,3.51636,3.5275
Oct-11,2.48,3.53762,3.54
Nov-11,,3.51205,3.495
Dec-11,,3.5024,3.52
Jan-12,,3.51438,3.51
Feb-12,2.63,3.53333,3.544
Mar-12,2.65,3.55445,3.554
Apr-12,2.6,3.55253,3.546
May-12,2.33,3.51709,3.472
Jun-12,2.37,3.46074,3.448
Jul-12,2.43,3.45564,3.47
Aug-12,2.51,3.47436,3.476
Sep-12,2.53,3.4772,3.48
Oct-12,2.5,3.43591,3.41
Nov-12,2.48,3.37918,3.35
Dec-12,,3.34179,3.338
Jan-13,,3.33618,3.336
Feb-13,,3.3345,3.334